Robot has been awakened!
Kenobi start position Row: 8, Column 8
Kenobi moved up to (8, 7) | Reward: 2.0 | Distance to food: 4
Kenobi moved down to (9, 7) | Reward: -2.0 | Distance to food: 5
Kenobi moved right to (9, 8) | Reward: -2.0 | Distance to food: 6
Kenobi moved down to (10, 8) | Reward: -2.0 | Distance to food: 7
Kenobi moved right to (10, 9) | Reward: -2.0 | Distance to food: 8
Kenobi moved left to (10, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved up to (9, 8) | Reward: 2.0 | Distance to food: 6
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 5
Kenobi moved left to (8, 7) | Reward: 2.0 | Distance to food: 4
Kenobi moved down to (9, 7) | Reward: -2.0 | Distance to food: 5
Kenobi moved up to (8, 7) | Reward: 2.0 | Distance to food: 4
Kenobi moved left to (8, 6) | Reward: 2.0 | Distance to food: 3
Kenobi moved up to (7, 6) | Reward: 2.0 | Distance to food: 2
Kenobi moved down to (8, 6) | Reward: -2.0 | Distance to food: 3
Kenobi moved down to (9, 6) | Reward: -2.0 | Distance to food: 4
Kenobi moved up to (8, 6) | Reward: 2.0 | Distance to food: 3
Kenobi moved down to (9, 6) | Reward: -2.0 | Distance to food: 4
Kenobi moved right to (9, 7) | Reward: -2.0 | Distance to food: 5
Kenobi moved up to (8, 7) | Reward: 2.0 | Distance to food: 4
Kenobi moved right to (8, 8) | Reward: -2.0 | Distance to food: 5
Kenobi moved left to (8, 7) | Reward: 2.0 | Distance to food: 4
Kenobi moved left to (8, 6) | Reward: 2.0 | Distance to food: 3
Kenobi moved right to (8, 7) | Reward: -2.0 | Distance to food: 4
Kenobi moved down to (9, 7) | Reward: -2.0 | Distance to food: 5
Kenobi moved left to (9, 6) | Reward: 2.0 | Distance to food: 4
Kenobi moved right to (9, 7) | Reward: -2.0 | Distance to food: 5
Kenobi moved right to (9, 8) | Reward: -2.0 | Distance to food: 6
Kenobi moved right to (9, 9) | Reward: -2.0 | Distance to food: 7
Kenobi moved up to (8, 9) | Reward: 2.0 | Distance to food: 6
Kenobi moved up to (7, 9) | Reward: 2.0 | Distance to food: 5
Kenobi moved right to (7, 10) | Reward: -2.0 | Distance to food: 6
Kenobi moved down to (8, 10) | Reward: -2.0 | Distance to food: 7
Kenobi moved left to (8, 9) | Reward: 2.0 | Distance to food: 6
Kenobi moved right to (8, 10) | Reward: -2.0 | Distance to food: 7
Kenobi moved left to (8, 9) | Reward: 2.0 | Distance to food: 6
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 7
Kenobi moved left to (9, 8) | Reward: 2.0 | Distance to food: 6
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 5
Kenobi moved right to (8, 9) | Reward: -2.0 | Distance to food: 6
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 7
